PLAYER,SEASON,TEAM,TEAM_ID,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Allisha Gray,2003,Atlanta Dream,1611661330,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4,5.3,2.8,2.2,0.9,0.2,2.5,-5.7
Asia (AD) Durr,2003,Atlanta Dream,1611661330,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1
Cheyenne Parker,2003,Atlanta Dream,1611661330,13,27.2,16.1,6.2,12.5,50,0.5,1.5,30,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3,1.6,1.3,2.5,-2.2
Danielle Robinson,2003,Atlanta Dream,1611661330,5,14.4,5.4,2.2,4.6,47.8,0.6,1,60,0.4,0.8,50,0.2,1.2,1.4,2.6,1.6,0.4,0,3,-7.2
Haley Jones,2003,Atlanta Dream,1611661330,13,21.9,5,1.9,5.7,33.8,0.3,1,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1
Laeticia Amihere,2003,Atlanta Dream,1611661330,7,7.8,3.7,1,2.1,46.7,0,0.1,0,1.7,3.1,54.5,0.3,1,1.3,0.4,0.9,0.3,1,0.9,-0.7
Lorela Cubaj,2003,Atlanta Dream,1611661330,3,6.2,0,0,0.3,0,0,0,0,0,0,0,0,2.3,2.3,0,0.3,0,0.3,1.3,4
Monique Billings,2003,Atlanta Dream,1611661330,12,14.7,4.4,1.4,3.6,39.5,0,0.1,0,1.6,1.8,90.5,1.4,3,4.4,0.6,1,0.3,0.4,2,-4.2
Naz Hillmon,2003,Atlanta Dream,1611661330,13,15.5,4.9,1.8,3.2,54.8,0,0.1,0,1.4,1.5,90,1.2,2.3,3.5,1,1.6,0.3,0.2,1.8,-6
Nia Coffey,2003,Atlanta Dream,1611661330,13,20.6,5.2,1.9,4.7,41,1,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2
Rhyne Howard,2003,Atlanta Dream,1611661330,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2
Taylor Mikesell,2003,Atlanta Dream,1611661330,5,5.4,3.4,1,2,50,0.6,1.4,42.9,0.8,0.8,100,0,0.4,0.4,0.4,0.2,0,0,0,-1.2
Aari McDonald,2004,Atlanta Dream,1611661330,5,28.7,6,2,7.6,26.3,1.2,4,30,0.8,1.6,50,0,2.4,2.4,3.8,2,0.2,0,2.2,0.8
Allisha Gray,2004,Atlanta Dream,1611661330,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4,5.3,2.8,2.2,0.9,0.2,2.5,-5.7
Asia (AD) Durr,2004,Atlanta Dream,1611661330,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1
Cheyenne Parker,2004,Atlanta Dream,1611661330,13,27.2,16.1,6.2,12.5,50,0.5,1.5,30,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3,1.6,1.3,2.5,-2.2
Danielle Robinson,2004,Atlanta Dream,1611661330,5,14.4,5.4,2.2,4.6,47.8,0.6,1,60,0.4,0.8,50,0.2,1.2,1.4,2.6,1.6,0.4,0,3,-7.2
Haley Jones,2004,Atlanta Dream,1611661330,13,21.9,5,1.9,5.7,33.8,0.3,1,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1
Laeticia Amihere,2004,Atlanta Dream,1611661330,7,7.8,3.7,1,2.1,46.7,0,0.1,0,1.7,3.1,54.5,0.3,1,1.3,0.4,0.9,0.3,1,0.9,-0.7
Lorela Cubaj,2004,Atlanta Dream,1611661330,3,6.2,0,0,0.3,0,0,0,0,0,0,0,0,2.3,2.3,0,0.3,0,0.3,1.3,4
Monique Billings,2004,Atlanta Dream,1611661330,12,14.7,4.4,1.4,3.6,39.5,0,0.1,0,1.6,1.8,90.5,1.4,3,4.4,0.6,1,0.3,0.4,2,-4.2
Naz Hillmon,2004,Atlanta Dream,1611661330,13,15.5,4.9,1.8,3.2,54.8,0,0.1,0,1.4,1.5,90,1.2,2.3,3.5,1,1.6,0.3,0.2,1.8,-6
Nia Coffey,2004,Atlanta Dream,1611661330,13,20.6,5.2,1.9,4.7,41,1,2.3,43.3,0.4,0.5,71.4,0.2,3.3,3.5,1.8,0.8,0.5,1.4,2.1,-2.2
Rhyne Howard,2004,Atlanta Dream,1611661330,13,31.7,16.6,5.3,13.8,38.3,2.3,6.3,36.6,3.7,4.8,76.2,1.1,3.7,4.8,2.9,1.8,0.8,0.4,2.8,-4.2
Taylor Mikesell,2004,Atlanta Dream,1611661330,5,5.4,3.4,1,2,50,0.6,1.4,42.9,0.8,0.8,100,0,0.4,0.4,0.4,0.2,0,0,0,-1.2
Aari McDonald,2005,Atlanta Dream,1611661330,5,28.7,6,2,7.6,26.3,1.2,4,30,0.8,1.6,50,0,2.4,2.4,3.8,2,0.2,0,2.2,0.8
Allisha Gray,2005,Atlanta Dream,1611661330,13,32.4,17.7,5.9,12.5,47.2,0.9,2.7,34.3,4.9,5.8,84.2,1.3,4,5.3,2.8,2.2,0.9,0.2,2.5,-5.7
Asia (AD) Durr,2005,Atlanta Dream,1611661330,13,14.8,6.9,2.5,7.2,35.5,0.7,2.6,26.5,1.2,1.5,78.9,0.2,1.1,1.3,1.2,0.8,0.3,0.2,1.1,-1
Cheyenne Parker,2005,Atlanta Dream,1611661330,13,27.2,16.1,6.2,12.5,50,0.5,1.5,30,3.2,3.5,89.1,2.9,4.4,7.3,1.5,3,1.6,1.3,2.5,-2.2
Danielle Robinson,2005,Atlanta Dream,1611661330,5,14.4,5.4,2.2,4.6,47.8,0.6,1,60,0.4,0.8,50,0.2,1.2,1.4,2.6,1.6,0.4,0,3,-7.2
Haley Jones,2005,Atlanta Dream,1611661330,13,21.9,5,1.9,5.7,33.8,0.3,1,30.8,0.8,1.2,73.3,0.2,3.1,3.3,3.5,2.5,0.7,0.5,2.5,-1
